@relation 'abalone_train-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.trees.J48 -C 0.25 -M 50-C-1-F0-T0.1-I0'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Class_number_of_rings {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}

@data
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5
I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5
I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10
I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10
F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5
I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10
M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7
I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9
M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
F,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,10
F,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
F,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7
I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
I,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
I,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
M,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10
M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9
M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
M,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
M,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11
M,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7
I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7
I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
